empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
CIRO ENRIQUE RENDON TORRES,CIRO ENRIQUE RENDON TORRES,CALLE 3 # 5A-13,2422971,Buenaventura,CABOTAJE PUBLICO
CMA CGM S.A.,J. PABLO LA FUENTE / ENRIQUE GARCIA,CALLE 100 # 8A-49 OFICINA 912 TORRE B,6181667,Bogotá,INTERNACIONAL PUBLICO
COCO LISO ALCATRAZ Y CIA LIMITADA,NAYIB DIAZ CASTILLO,BARRIO BOSQUE AVENIDA PEDRO VELEZ 47 40,662 42 17,Cartagena,CABOTAJE PUBLICO
COHEUNG PANAMA MARINE SHIPPING CO  SA,LU XIN,MANGA AVENIDA JIMENEZ 19-49 ALICANTE 2 PISO 1,660 47 40,Cartagena,INTERNACIONAL PUBLICO
COLOMBIA ECOTURISMO S.A.S,JORGE EDUARDO MURILLO ZULUAGA,AV. VENEZUELA  #8B-05 EDIFICIO CITY BANK PISO 11,575 6601174,Cartagena,CABOTAJE PUBLICO
COMPAGNIE MARITIME MARFRET,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
COMPANHIA LIBRA DE NAVEGACAO,J. PABLO LA FUENTE / ENRIQUE GARCIA,CALLE 100 # 8A-49 OFICINA 912 TORRE B,6181667,Bogotá,INTERNACIONAL PUBLICO
COMPAÑIA DE LAS INDIAS OCCIDENTALES LTDA,MARLY DEL ROSARIO MARDINI LLAMAS,CRESPO AVENIDA 3 70-90 SEGUNDO PISO,656 30 44,Cartagena,CABOTAJE PUBLICO
COMPAÑIA LIBRA DE NAVEGACION (URUGUAY) S A,LUIS ENRIQUE ARTEAGA,CALLE 100 8 A 49 PISO 8,296 63 00,Bogotá,INTERNACIONAL PUBLICO
COMPAÑIA SUDAMERICANA DE VAPORES S. A.,EDUARDO CHARME MONTT,CALLE 100 # 8A-49 TORRE B PISO 8 WORLD TRADER C.,6100299,Bogotá,INTERNACIONAL PUBLICO
COMPAÑIA TRANSNAVAL S.A.S.,CESAR ULISES LAFAURIE HENRIQUEZ,CLL 9 46B 61,3135336877,Barranquilla,CABOTAJE PUBLICO
COMPAÑIA TRASATLANTICA ESPAÑOLA S A,MANUEL NUÑEZ GONALEZ,LA MATUNA EDIFICIO BANCO COLOMBIA PISO 4,6640084,Cartagena,INTERNACIONAL PUBLICO
CONOCEMOS NAVEGANDO S A S,RODRIGUEZ ARANGO ROBERTO HERNANDO,CENTRO COMERCIAL NEW POINT LOCAL 122,512 62 15,San andrés,CABOTAJE PUBLICO
